REWIRING vs ADD/REMOVE under a CONTINUOUS objective (acc - 1.000*energy)
N=12 hidden=10 K=3, 30 seeds x 150 gens, PSLIDE=0.020
compact conv = width -> K, coverage -> 1, shared-frac -> 1

SENSITIVITY  placement: objective 0.5950..0.9283 (span 0.3333) at energy 0.025000..0.025000
SENSITIVITY  width:     objective 0.4283..0.8567 (span 0.4283)

  arm             shared-frac  mean-w  max-w  coverage  energy   test
RAW 2 150 13 1.0000 5.3000 12.0000 1.0000 0.100000 0.9010
RAW 2 150 14 1.0000 7.9000 12.0000 1.0000 0.100000 0.8760
RAW 2 150 15 1.0000 3.1000 7.0000 1.0000 0.058333 0.9200
RAW 2 150 16 0.8333 3.3000 9.0000 1.0000 0.075000 0.9220
RAW 2 150 17 0.5833 1.3000 2.0000 1.0000 0.016667 0.8520
RAW 2 150 18 0.5000 1.4000 2.0000 1.0000 0.016667 0.8870
RAW 2 150 19 1.0000 3.4000 12.0000 1.0000 0.100000 0.8440
RAW 2 150 20 1.0000 8.5000 12.0000 1.0000 0.100000 0.9470
RAW 2 150 21 1.0000 3.8000 8.0000 1.0000 0.066667 0.9560
RAW 2 150 22 0.9167 2.2000 5.0000 1.0000 0.041667 0.8180
RAW 2 150 23 0.6667 1.3000 2.0000 1.0000 0.016667 0.8570
RAW 2 150 24 0.5000 1.0000 1.0000 1.0000 0.008333 0.8130
RAW 2 150 25 1.0000 4.3000 9.0000 1.0000 0.075000 0.9590
RAW 2 150 26 1.0000 6.3000 9.0000 1.0000 0.075000 0.9440
RAW 2 150 27 0.9167 4.5000 7.0000 1.0000 0.058333 0.9460
RAW 2 150 28 0.9167 9.6000 11.0000 1.0000 0.091667 0.9510
RAW 2 150 29 0.9167 2.1000 5.0000 1.0000 0.041667 0.9270
RAW 2 150 30 1.0000 3.8000 10.0000 1.0000 0.083333 0.9540
  2 rewire-rand    0.964       3.65    7.31   0.895    0.0707   0.909

GENS=0 reruns this as the no-evolution control: any arm difference that survives there
is an artifact of the seed and the operator, not of selection.
