REWIRING vs ADD/REMOVE under a CONTINUOUS objective (acc - 2.000*energy)
N=12 hidden=10 K=3, 30 seeds x 150 gens, PSLIDE=0.150
compact conv = width -> K, coverage -> 1, shared-frac -> 1

SENSITIVITY  placement: objective 0.5700..0.9033 (span 0.3333) at energy 0.025000..0.025000
SENSITIVITY  width:     objective 0.4200..0.7700 (span 0.3500)

  arm             shared-frac  mean-w  max-w  coverage  energy   test
RAW 2 150 13 0.9167 1.4000 3.0000 1.0000 0.025000 0.8770
RAW 2 150 14 0.9167 1.5000 2.0000 1.0000 0.016667 0.8800
RAW 2 150 15 0.9167 1.7000 2.0000 1.0000 0.016667 0.8540
RAW 2 150 16 1.0000 4.3000 10.0000 1.0000 0.083333 0.9490
RAW 2 150 17 0.7500 1.5000 2.0000 1.0000 0.016667 0.8780
RAW 2 150 18 0.5833 1.6000 2.0000 1.0000 0.016667 0.8760
RAW 2 150 19 0.6667 1.3000 2.0000 1.0000 0.016667 0.8500
RAW 2 150 20 0.9167 1.7000 3.0000 1.0000 0.025000 0.8870
RAW 2 150 21 0.9167 2.3000 3.0000 1.0000 0.025000 0.9190
RAW 2 150 22 1.0000 2.4000 5.0000 1.0000 0.041667 0.9340
RAW 2 150 23 0.5833 1.0000 1.0000 1.0000 0.008333 0.8670
RAW 2 150 24 0.5000 1.0000 1.0000 1.0000 0.008333 0.8130
RAW 2 150 25 1.0000 2.5000 4.0000 1.0000 0.033333 0.9100
RAW 2 150 26 0.9167 2.3000 3.0000 1.0000 0.025000 0.8970
RAW 2 150 27 0.9167 1.6000 2.0000 1.0000 0.016667 0.9140
RAW 2 150 28 0.9167 2.6000 4.0000 1.0000 0.033333 0.9350
RAW 2 150 29 1.0000 2.1000 3.0000 1.0000 0.025000 0.9310
RAW 2 150 30 0.9167 1.9000 3.0000 1.0000 0.025000 0.9410
  2 rewire-rand    0.944       2.00    3.71   0.819    0.0395   0.899

GENS=0 reruns this as the no-evolution control: any arm difference that survives there
is an artifact of the seed and the operator, not of selection.
