REWIRING vs ADD/REMOVE under a CONTINUOUS objective (acc - 4.000*energy)
RAW 1 150 11 0.8333 2.1000 4.0000 1.0000 0.033333 0.8970
RAW 1 150 12 0.5000 1.0000 1.0000 1.0000 0.008333 0.7530
RAW 1 150 13 0.5000 1.0000 1.0000 1.0000 0.008333 0.7970
RAW 1 150 14 0.3333 1.0000 1.0000 1.0000 0.008333 0.7570
RAW 1 150 15 0.8333 1.7000 3.0000 1.0000 0.025000 0.8360
RAW 1 150 16 0.8333 3.7000 8.0000 1.0000 0.066667 0.9300
RAW 1 150 17 0.3333 1.0000 1.0000 1.0000 0.008333 0.8230
RAW 1 150 18 0.5833 1.4000 2.0000 1.0000 0.016667 0.8740
RAW 1 150 19 1.0000 5.4000 11.0000 1.0000 0.091667 0.8040
RAW 1 150 20 1.0000 4.7000 10.0000 1.0000 0.083333 0.9210
RAW 1 150 21 0.8333 1.7000 3.0000 1.0000 0.025000 0.9000
RAW 1 150 22 0.9167 2.4000 5.0000 1.0000 0.041667 0.9200
RAW 1 150 23 0.2500 1.0000 1.0000 1.0000 0.008333 0.7380
RAW 1 150 24 0.5000 1.0000 1.0000 1.0000 0.008333 0.8210
RAW 1 150 25 0.8333 2.1000 3.0000 1.0000 0.025000 0.9130
RAW 1 150 26 0.8333 1.4000 2.0000 1.0000 0.016667 0.8630
RAW 1 150 27 0.8333 1.9000 3.0000 1.0000 0.025000 0.9070
RAW 1 150 28 0.9167 2.3000 4.0000 1.0000 0.033333 0.8970
RAW 1 150 29 0.9167 1.6000 3.0000 1.0000 0.025000 0.9100
RAW 1 150 30 0.9167 1.7000 3.0000 1.0000 0.025000 0.9240
  1 slide-1        0.944       1.87    3.74   0.714    0.0378   0.867
RAW 2 150 1 0.7500 1.0000 1.0000 1.0000 0.008333 0.8730
RAW 2 150 2 0.8333 1.4000 2.0000 1.0000 0.016667 0.9040
RAW 2 150 3 1.0000 1.5000 2.0000 1.0000 0.016667 0.9100
RAW 2 150 4 0.8333 1.0000 1.0000 1.0000 0.008333 0.8560
RAW 2 150 5 0.9167 2.2000 3.0000 1.0000 0.025000 0.8670
RAW 2 150 6 0.8333 1.3000 2.0000 1.0000 0.016667 0.8780
RAW 2 150 7 0.9167 1.3000 2.0000 1.0000 0.016667 0.9110
RAW 2 150 8 0.8333 1.6000 2.0000 1.0000 0.016667 0.9100
RAW 2 150 9 0.9167 1.4000 2.0000 1.0000 0.016667 0.9070
RAW 2 150 10 1.0000 1.5000 3.0000 1.0000 0.025000 0.9050
RAW 2 150 11 0.8333 1.0000 1.0000 1.0000 0.008333 0.9000
RAW 2 150 12 0.6667 1.0000 1.0000 1.0000 0.008333 0.8080
RAW 2 150 13 0.9167 1.6000 2.0000 1.0000 0.016667 0.7440
RAW 2 150 14 1.0000 1.6000 2.0000 1.0000 0.016667 0.9120
RAW 2 150 15 0.8333 1.0000 1.0000 1.0000 0.008333 0.8790
RAW 2 150 16 0.8333 1.4000 2.0000 1.0000 0.016667 0.8840
RAW 2 150 17 0.5000 1.0000 1.0000 1.0000 0.008333 0.8630
RAW 2 150 18 0.4167 1.0000 1.0000 1.0000 0.008333 0.8720
RAW 2 150 19 1.0000 7.9000 11.0000 1.0000 0.091667 0.8310
RAW 2 150 20 0.8333 1.4000 2.0000 1.0000 0.016667 0.8930
RAW 2 150 21 0.9167 1.4000 2.0000 1.0000 0.016667 0.9080
RAW 2 150 22 1.0000 1.5000 2.0000 1.0000 0.016667 0.8890
RAW 2 150 23 0.5833 1.0000 1.0000 1.0000 0.008333 0.8510
RAW 2 150 24 0.5000 1.0000 1.0000 1.0000 0.008333 0.8120
RAW 2 150 25 0.9167 1.3000 2.0000 1.0000 0.016667 0.9060
RAW 2 150 26 0.9167 1.4000 2.0000 1.0000 0.016667 0.8920
RAW 2 150 27 0.9167 1.6000 2.0000 1.0000 0.016667 0.9130
RAW 2 150 28 0.9167 2.6000 3.0000 1.0000 0.025000 0.9220
RAW 2 150 29 0.9167 2.2000 3.0000 1.0000 0.025000 0.9430
RAW 2 150 30 0.9167 1.6000 2.0000 1.0000 0.016667 0.9220
  2 rewire-rand    0.944       1.54    2.49   0.769    0.0265   0.882

GENS=0 reruns this as the no-evolution control: any arm difference that survives there
is an artifact of the seed and the operator, not of selection.
