place seed coverage final aulc
 2 11 0.2500 0.4950 0.4908
 3 11 0.2500 0.7460 0.7437
 4 11 0.5000 0.7050 0.6820
 5 11 0.5000 0.7160 0.7159
 6 11 0.7500 0.6940 0.6870
 7 11 1.0000 0.7010 0.6817
 8 11 0.9167 0.7050 0.6505
 9 11 1.0000 0.7670 0.7003
10 11 0.9167 0.6900 0.6588
11 11 0.5000 0.6790 0.6792
12 11 1.0000 0.6950 0.6765
13 11 0.5000 0.6790 0.6674
14 11 0.5833 0.6780 0.6814
15 11 0.7500 0.6810 0.6342
 0 12 0.2500 0.7010 0.7045
 1 12 0.2500 0.6530 0.6570
 2 12 0.2500 0.6520 0.6522
 3 12 0.2500 0.5760 0.5777
 4 12 0.5000 0.6870 0.6970
 5 12 0.5000 0.6870 0.6949
 6 12 0.7500 0.7820 0.7977
 7 12 1.0000 0.8920 0.8951
 8 12 0.9167 0.8420 0.8281
 9 12 1.0000 0.8970 0.9024
10 12 0.9167 0.8460 0.8485
11 12 0.5000 0.7550 0.7326
12 12 1.0000 0.8940 0.8937
13 12 0.5000 0.7540 0.7584
14 12 0.5833 0.7290 0.7553
15 12 0.7500 0.8390 0.8486
 0 13 0.2500 0.6110 0.5993
 1 13 0.2500 0.7050 0.6875
 2 13 0.2500 0.6700 0.6702
 3 13 0.2500 0.5940 0.5402
 4 13 0.5000 0.6610 0.6230
 5 13 0.5000 0.6630 0.6447
 6 13 0.7500 0.7780 0.7553
 7 13 1.0000 0.9000 0.8506
 8 13 0.9167 0.8730 0.8637
 9 13 1.0000 0.9020 0.8894
10 13 0.9167 0.8740 0.8656
11 13 0.5000 0.7060 0.7029
12 13 1.0000 0.9030 0.8947
13 13 0.5000 0.7080 0.6797
14 13 0.5833 0.7460 0.7573
15 13 0.7500 0.8300 0.8294
 0 14 0.2500 0.7470 0.7485
 1 14 0.2500 0.5990 0.5942
 2 14 0.2500 0.6200 0.5988
 3 14 0.2500 0.6250 0.6143
 4 14 0.5000 0.7410 0.7302
 5 14 0.5000 0.7420 0.7231
 6 14 0.7500 0.7910 0.7756
 7 14 1.0000 0.8430 0.8286
 8 14 0.9167 0.8340 0.8012
 9 14 1.0000 0.8500 0.7944
10 14 0.9167 0.8320 0.8180
11 14 0.5000 0.7510 0.7542
12 14 1.0000 0.8230 0.8371
13 14 0.5000 0.7510 0.7569
14 14 0.5833 0.7750 0.7859
15 14 0.7500 0.7610 0.7882
 0 15 0.2500 0.6560 0.6575
 1 15 0.2500 0.6620 0.6449
 2 15 0.2500 0.6140 0.6146
 3 15 0.2500 0.6620 0.6531
 4 15 0.5000 0.7250 0.6970
 5 15 0.5000 0.7250 0.7022
 6 15 0.7500 0.7280 0.7170
 7 15 1.0000 0.8390 0.8348
 8 15 0.9167 0.7460 0.7577
 9 15 1.0000 0.8410 0.8259
10 15 0.9167 0.7450 0.7556
11 15 0.5000 0.6960 0.6917
12 15 1.0000 0.8370 0.8249
13 15 0.5000 0.6960 0.6724
14 15 0.5833 0.6950 0.6767
15 15 0.7500 0.7770 0.7504
 0 16 0.2500 0.6490 0.6318
 1 16 0.2500 0.6140 0.6042
