REWIRING vs ADD/REMOVE under a CONTINUOUS objective (acc - 8.000*energy)
RAW 1 150 11 0.8333 2.1000 4.0000 1.0000 0.033333 0.8990
RAW 1 150 12 0.3333 1.0000 1.0000 1.0000 0.008333 0.7370
RAW 1 150 13 0.6667 1.0000 1.0000 1.0000 0.008333 0.8190
RAW 1 150 14 0.3333 1.0000 1.0000 1.0000 0.008333 0.7570
RAW 1 150 15 0.5833 1.0000 1.0000 1.0000 0.008333 0.7560
RAW 1 150 16 0.5000 1.0000 1.0000 1.0000 0.008333 0.7320
RAW 1 150 17 0.2500 1.0000 1.0000 1.0000 0.008333 0.7400
RAW 1 150 18 0.5000 1.5000 2.0000 1.0000 0.016667 0.8580
RAW 1 150 19 0.4167 1.0000 1.0000 1.0000 0.008333 0.7820
RAW 1 150 20 0.8333 1.5000 2.0000 1.0000 0.016667 0.8600
RAW 1 150 21 0.8333 1.7000 3.0000 1.0000 0.025000 0.9120
RAW 1 150 22 0.8333 1.6000 4.0000 1.0000 0.033333 0.9040
RAW 1 150 23 0.1667 1.0000 1.0000 1.0000 0.008333 0.7240
RAW 1 150 24 0.5000 1.0000 1.0000 1.0000 0.008333 0.8210
RAW 1 150 25 0.8333 1.9000 3.0000 1.0000 0.025000 0.9120
RAW 1 150 26 0.5833 1.0000 1.0000 1.0000 0.008333 0.7760
RAW 1 150 27 0.5833 1.0000 1.0000 1.0000 0.008333 0.7640
RAW 1 150 28 0.8333 1.5000 2.0000 1.0000 0.016667 0.8830
RAW 1 150 29 0.5833 1.0000 1.0000 1.0000 0.008333 0.7850
RAW 1 150 30 0.5833 1.0000 1.0000 1.0000 0.008333 0.7680
  1 slide-1        0.944       1.21    1.93   0.563    0.0207   0.793
RAW 2 150 1 0.7500 1.0000 1.0000 1.0000 0.008333 0.8670
RAW 2 150 2 0.8333 1.0000 1.0000 1.0000 0.008333 0.8820
RAW 2 150 3 0.8333 1.0000 1.0000 1.0000 0.008333 0.8860
RAW 2 150 4 0.8333 1.0000 1.0000 1.0000 0.008333 0.8550
RAW 2 150 5 0.8333 1.0000 1.0000 1.0000 0.008333 0.8160
RAW 2 150 6 1.0000 1.4000 2.0000 1.0000 0.016667 0.9000
RAW 2 150 7 0.8333 1.5000 2.0000 1.0000 0.016667 0.9140
RAW 2 150 8 0.8333 1.0000 1.0000 1.0000 0.008333 0.8970
RAW 2 150 9 0.8333 1.0000 1.0000 1.0000 0.008333 0.8710
RAW 2 150 10 0.8333 1.0000 1.0000 1.0000 0.008333 0.8640
RAW 2 150 11 0.8333 1.0000 1.0000 1.0000 0.008333 0.8980
RAW 2 150 12 0.6667 1.0000 1.0000 1.0000 0.008333 0.8000
RAW 2 150 13 0.6667 1.0000 1.0000 1.0000 0.008333 0.8140
RAW 2 150 14 0.7500 1.0000 1.0000 1.0000 0.008333 0.8320
RAW 2 150 15 0.8333 1.0000 1.0000 1.0000 0.008333 0.8790
RAW 2 150 16 0.8333 1.0000 1.0000 1.0000 0.008333 0.8860
RAW 2 150 17 0.5833 1.0000 1.0000 1.0000 0.008333 0.8560
RAW 2 150 18 0.5000 1.0000 1.0000 1.0000 0.008333 0.8790
RAW 2 150 19 0.6667 1.0000 1.0000 1.0000 0.008333 0.8220
RAW 2 150 20 0.8333 1.3000 2.0000 1.0000 0.016667 0.8920
RAW 2 150 21 0.8333 1.0000 1.0000 1.0000 0.008333 0.9110
RAW 2 150 22 0.7500 1.0000 1.0000 1.0000 0.008333 0.8440
RAW 2 150 23 0.6667 1.0000 1.0000 1.0000 0.008333 0.8640
RAW 2 150 24 0.5000 1.0000 1.0000 1.0000 0.008333 0.8120
RAW 2 150 25 0.8333 1.0000 1.0000 1.0000 0.008333 0.8730
RAW 2 150 26 0.8333 1.0000 1.0000 1.0000 0.008333 0.8710
RAW 2 150 27 0.7500 1.4000 2.0000 1.0000 0.016667 0.8490
RAW 2 150 28 0.7500 1.0000 1.0000 1.0000 0.008333 0.8830
RAW 2 150 29 0.9167 1.4000 2.0000 1.0000 0.016667 0.9200
RAW 2 150 30 0.7500 1.0000 1.0000 1.0000 0.008333 0.8110
  2 rewire-rand    0.944       1.12    1.66   0.735    0.0183   0.865

GENS=0 reruns this as the no-evolution control: any arm difference that survives there
is an artifact of the seed and the operator, not of selection.
